Action;Type;DoType;DoEntete;DE_No;DoDomaine;AR_Ref;Qte;Prix;Remise;Montant;Date;User;cbMarq;tables;cbCreateur
ajout_ligne;Vente;6;FVA007802;4;0;10263512;5.00;1000.;0;1000.;2020-10-14 16:50:39;20;339607;F_DOCLIGNE;20;2020-10-14
ajout_ligne;Artstock;;;4;;10263512;500.000000;;;178435.000000;2020-10-14 16:50:39;;38296;F_ARTSTOCK;AND ;NULL
ajout_ligne;Artstock;;;4;;10263512;495.000000;;;176650.650000;2020-10-14 16:50:39;;38296;F_ARTSTOCK;20  ;NULL
Ajout Règlement;;;;;;;;;;5000.00;2020-10-14 16:51:32;20;67673;F_ARTSTOCK;20;2020-10-14
ajout_ligne;Vente;6;FAC000392;1;0;MAT0001;1.;1666.67;0;1666.67;2020-10-27 10:41:30;3;13366;F_DOCLIGNE;3;2020-10-27
ajout_ligne;Artstock;;;1;;MAT0001;5784.000000;;;10445904.000000;2020-10-27 10:41:30;;155;F_ARTSTOCK;13  ;NULL
ajout_ligne;Artstock;;;1;;MAT0001;5783.000000;;;10444098.000000;2020-10-27 10:41:31;;155;F_ARTSTOCK;3   ;NULL
suppr_ligne;Vente;6;FAC000392;1;0;MAT0001;1.000000;1666.670000;.000000;1666.670000;2020-10-27 10:41:37;3;13366;F_DOCLIGNE;3   ;2020-10-27 00:00:00
suppr_ligne;Artstock;;;1;;MAT0001;5783.000000;;;10444098.000000;2020-10-27 10:41:38;;155;F_ARTSTOCK;3   ;NULL
suppr_ligne;Artstock;;;1;;MAT0001;5784.000000;;;10445904.000000;2020-10-27 10:41:38;;155;F_ARTSTOCK;3   ;NULL
Ajout Règlement;;;;;;;;;;66500.00;2020-11-04 12:49:58;25;34600;F_ARTSTOCK;25;2020-11-04
ajout_ligne;Vente;6;FVSI06841;2;0;30910009;6.;2055.56;0;2055.56;2021-01-01 21:05:49;58;339800;F_DOCLIGNE;58;2021-01-01
ajout_ligne;Artstock;;;2;;30910009;26.000000;;;21962.200000;2021-01-01 21:05:49;;34470;F_ARTSTOCK;55  ;NULL
ajout_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-01 21:05:50;;34470;F_ARTSTOCK;58  ;NULL
modif_ligne;Vente;6;FVSI06841;2;0;30910009;2.00;2055.56;0;4111.1199999999999;2021-01-01 21:06:11;58;339800;F_DOCLIGNE;58  ;2021-01-01 00:00:00
modif_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-01 21:06:12;;34470;F_ARTSTOCK;58  ;NULL
modif_ligne;Artstock;;;2;;30910009;24.000000;;;20272.800000;2021-01-01 21:06:12;;34470;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;4111.12;2021-01-01 21:32:33;58;67798;F_ARTSTOCK;58;2021-01-01
ajout_ligne;Vente;6;FVO001763;13;0;30910002;7.;2055.56;0;2055.56;2021-01-04 21:55:35;16;340800;F_DOCLIGNE;16;2021-01-04
ajout_ligne;Artstock;;;13;;30910002;57.000000;;;40641.000000;2021-01-04 21:55:35;;38980;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;13;;30910002;50.000000;;;35650.000000;2021-01-04 21:55:35;;38980;F_ARTSTOCK;16  ;NULL
Ajout Règlement;;;;;;;;;;14388.92;2021-01-04 21:56:09;16;67799;F_ARTSTOCK;16;2021-01-04
ajout_ligne;Vente;6;FVSI06842;2;0;30910009;4.;2055.56;0;2055.56;2021-01-05 08:21:43;58;340801;F_DOCLIGNE;58;2021-01-05
ajout_ligne;Artstock;;;2;;30910009;24.000000;;;20272.800000;2021-01-05 08:21:43;;34470;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;30910009;20.000000;;;16894.000000;2021-01-05 08:21:43;;34470;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;8222.24;2021-01-05 08:22:17;58;67800;F_ARTSTOCK;58;2021-01-05
ajout_ligne;Vente;6;FVSI06843;2;0;30910002;10.;2055.56;0;2055.56;2021-01-16 08:09:47;58;340803;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;30910002;61.000000;;;43493.000000;2021-01-16 08:09:47;;38932;F_ARTSTOCK;COLU;NULL
ajout_ligne;Artstock;;;2;;30910002;51.000000;;;36363.000000;2021-01-16 08:09:47;;38932;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;1000.00;2021-01-16 08:15:36;58;67804;F_ARTSTOCK;58;2021-01-16
ajout_ligne;;20;ME0000525;0;2;000001C;4000.00;0;0;0;2021-01-16 10:53:30;58;340804;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-16 10:53:30;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.00;3000.00;0;3000.00;2021-01-16 10:54:53;58;340805;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;4000.000000;;;20000000.000000;2021-01-16 10:54:53;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3999.000000;;;19995000.000000;2021-01-16 10:54:53;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;3.00;3000.00;0;3000.00;2021-01-16 11:41:02;58;340806;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3999.000000;;;19995000.000000;2021-01-16 11:41:02;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-16 11:41:03;;49523;F_ARTSTOCK;58  ;NULL
Ajout Règlement;;;;;;;;;;450000.00;2021-01-16 13:24:57;58;67805;F_ARTSTOCK;58;2021-01-16
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.;16500.00;0;16500.00;2021-01-18 02:21:16;58;340807;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3996.000000;;;19980000.000000;2021-01-18 02:21:16;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-18 02:21:16;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Vente;6;FVSI06845;2;0;000001C;1.00;12000.;0;12000.;2021-01-18 02:21:32;58;340808;F_DOCLIGNE;58;2021-01-16
ajout_ligne;Artstock;;;2;;000001C;3995.000000;;;19975000.000000;2021-01-18 02:21:32;;49523;F_ARTSTOCK;58  ;NULL
ajout_ligne;Artstock;;;2;;000001C;3994.000000;;;19970000.000000;2021-01-18 02:21:32;;49523;F_ARTSTOCK;58  ;NULL
